Quarter,C,UK
Apr-Jun 2014,Migrants,7.3
Jul-Sep 2014,Migrants,6.9
Oct-Dec 2014,Migrants,6.4
Jan-Mar 2015,Migrants,6.4
Apr-Jun 2015,Migrants,6.5
Jul-Sep 2015,Migrants,6.3
Oct-Dec 2015,Migrants,6.1
Jan-Mar 2016,Migrants,6.1
Apr-Jun 2016,Migrants,5.5
Jul-Sep 2016,Migrants,5.6
Oct-Dec 2016,Migrants,5.2
Jan-Mar 2017,Migrants,5.8
Apr-Jun 2017,Migrants,5.3
Jul-Sep 2017,Migrants,4.7
Oct-Dec 2017,Migrants,4.8
Jan-Mar 2018,Migrants,5
Apr-Jun 2018,Migrants,4.5
Jul-Sep 2018,Migrants,5
Oct-Dec 2018,Migrants,4.4
Jan-Mar 2019,Migrants,4.6
Apr-Jun 2019,Migrants,4.6
Jul-Sep 2019,Migrants,4.3
Oct-Dec 2019,Migrants,3.9
Jan-Mar 2020,Migrants,4.5
Apr-Jun 2020,Migrants,4.6
Jul-Sep 2020,Migrants,6.5
Oct-Dec 2020,Migrants,7.1
Jan-Mar 2021,Migrants,6.7
Apr-Jun 2021,Migrants,5.7
Jul-Sep 2021,Migrants,5.7
Oct-Dec 2021,Migrants,5.3
Jan-Mar 2022,Migrants,4.8
Apr-Jun 2022,Migrants,4.6
Jul-Sep 2022,Migrants,5
